amfi_code,date,nav,fund_name,fund_house,scheme_category
,2018-05-31,58.995,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-01,57.8765,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-04,56.5065,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-05,55.1442,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-06,55.91,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-07,57.0031,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-08,57.0448,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-11,57.3946,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-12,57.4404,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-13,57.2522,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-14,57.4387,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-15,57.0672,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-18,56.868,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-19,56.0586,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-20,55.9644,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-21,55.5814,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-22,55.5548,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-25,55.0055,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-26,54.6316,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-27,53.7015,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-28,53.2372,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-06-29,54.0638,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-02,53.9029,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-03,53.973,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-04,54.162,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-05,53.9747,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-06,54.1996,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-09,54.8668,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-10,54.9768,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-11,55.0134,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-12,54.9257,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-13,54.7351,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-16,53.8182,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-17,53.9208,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-18,53.3584,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-19,53.0648,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-20,53.1279,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-23,53.4957,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-24,54.2935,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-25,54.3981,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-26,54.6171,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-27,55.8532,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-30,56.2737,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-07-31,56.6181,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-01,57.0216,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-02,57.2162,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-03,57.7594,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-06,58.7914,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-07,58.9834,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-08,59.0029,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-09,58.7543,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-10,58.6551,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-13,58.2451,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-08-14,58.0781,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
